company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
"""adobe""",2695857919,2020-04-06 16:22:51+00:00, ,1247198089489854471,en,0,0,0,0,LinkedIn,"Great analysis. Excellent reasoning why #Low_molecular_weight_heparin will rescue covid19 patients. Worthy reading.
#SARS_COV_2 #COVID19 #COVID19US #COVID2019AU #Corona #StayAtHome #cureforcoronavirus #WhoCanSave_The_World @WHO #US…https://t.co/FlxMGiJF0j https://t.co/eKFLNrb1Wl"
"""adobe""",52401278,2020-04-05 11:10:29+00:00, ,1246757092863639552,en,1,0,0,0,Twitter Web App,"As coronavirus forces us all to make changes, The @PrincesTrust is here to help young people cope today and prepare for tomorrow.

To support young people throughout the crisis and beyond, they have launched the Young People Relief Fund.

For all details: https://t.co/IaCjZvYAW9 https://t.co/cN5uq0P2oF"
"""adobe""",1243785161189310464,2020-04-03 17:28:14+00:00, ,1246127383133986816,en,0,0,0,0,Twitter for iPhone,"#Freelancers sufffering from the #coronavirus layoffs, Abobe is offering relief. They gave me 2 months free on my account. Thank you #Adobe for understanding!"
"""adobe""",897477962,2020-04-03 16:45:36+00:00, ,1246116654171422722,en,0,0,0,0,LaterMedia,"We are already supporting people working in the trade financially affected by COVID-19. If you are worried about your financial situation and could benefit from a little assistance from our charity, please find out more about how we can help you. https://t.co/PgxVip9fkb https://t.co/pBjn5AjbTf"
"""adobe""",17571006,2020-04-02 00:03:11+00:00, ,1245502000621469697,en,9,0,2,3,Twitter Web App,Quick #thankyou to companies offering software supporting #COVID19 relief efforts. @Google @Adobe and @airtable have helped #EastBayFeedER - we couldn't do it without you.  CC: @EastBayFeedER @ayeletw @FrontlineFoods https://t.co/bj9YUWxyf3 #InThisTogether #WereInThisTogether
"""adobe""",90864894,2020-04-01 23:14:09+00:00, ,1245489661159436289,en,0,0,0,0,Twitter for iPhone,"@Adobe other companies stepped up in a major ways, are you planning on any relief for individuals and small business to help with COVID19 recovery?"
"""adobe""",352498182,2020-04-01 17:40:38+00:00, ,1245405727230840832,en,2,0,0,1,Twitter Web App,"This morning I mailed a letter to the Bishops of the United States regarding their failure of leadership during the COVID-19 Pandemic. Here is a link to the full letter below. 

#COVID19 #catholicchurch #endtheeucharistembargo @USCCB @ArchbishopGomez 

https://t.co/dI8Mult4rU https://t.co/OMHZHRu7zA"
"""adobe""",897477962,2020-04-01 15:25:46+00:00, ,1245371787329888256,en,4,1,0,3,LaterMedia,Our charity has been supporting furnishing industry workers for more than 100 years and we're ready to provide assistance to those who are majorly financially affected by COVID-19. Read our interactive brochure to find out what support is available: https://t.co/PgxVip9fkb https://t.co/de2boDHvp0
"""adobe""",735822971890204672,2020-04-01 10:53:54+00:00, ,1245303367632588806,en,2,0,0,0,Twitter Web App,"@WigToday Ah the power of stock photography.  Who would've thought 18 years on from taking a photo of a wheel it would provide some light relief during a world pandemic?  
@Adobe @AdobeUK @Photoshop
 #coronavirus #coronavirusuk #COVID19 #covid19UK 
@prospectbrewery
 #wigan #AprilFoolsDay"
"""adobe""",735822971890204672,2020-04-01 10:42:42+00:00, ,1245300550360596481,en,2,0,0,0,Twitter Web App,Ah the power of stock photography.  Who would've thought 18 years on from taking a photo of a wheel it would provide some light relief during a world pandemic?  @Adobe @AdobeUK @Photoshop #coronavirus #coronavirusuk #COVID19 #covid19UK @prospectbrewery #wigan #AprilFoolsDay https://t.co/YXSUV9oUBw
